Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Turnout_Rates_VEP_Highest_Office,Turnout_Rates_VAP_Highest_Office,Numerators_Total_Ballots_Counted,Numerators_Highest_Office,Denominators_Voting_Eligible_Population_VEP,Denominators_Voting_Age_Population_VAP_,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible
1990,34,26,Missouri,,36.2,35.4,,1352552,3740308,3821136,0.9,14943,42322,9196,45300,
1990,64,27,Montana,57,55.7,55.1,326652,319336,573045,579158,0.8,1425,0,0,1425,
1990,35,28,Nebraska,53.4,52.5,51.4,604195,593828,1131746,1154859,1.1,2403,14654,632,10362,
1990,65,29,Nevada,38,37.4,34.6,325959,320743,858018,926572,6.1,5322,7700,2850,12022,
1990,4,30,New Hampshire,37.8,36.2,35.4,307700,294819,814549,832887,2,1342,0,0,1342,
1990,12,31,New Jersey,36.8,35.7,32.6,1998894,1938454,5429251,5951541,7.4,21128,72341,23298,80597,
1990,66,32,New Mexico,41.8,40,38.2,429509,411236,1026902,1076522,3.9,3187,6294,1224,7558,
1990,13,33,New York,35,33.1,29.5,4290261,4056896,12271903,13742688,10,54895,0,42837,97732,
1990,47,34,North Carolina,,41.9,40.8,,2069585,4938968,5073437,1.3,18411,77829,9883,67209,
1990,36,35,North Dakota,52,50.7,50.2,240301,233973,461711,465851,0.8,483,0,0,483,
1990,24,36,Ohio,45.4,43.6,42.9,3620469,3477650,7975680,8103382,1.2,31822,0,0,31822,
1990,53,37,Oklahoma,41.3,40.5,39.4,929639,911314,2251719,2313340,1.5,12285,24411,3236,27727,
1990,72,38,Oregon,55.1,54.1,52.1,1133125,1112847,2057833,2137314,3.4,6492,0,0,6492,
1990,14,39,Pennsylvania,,34.1,33.5,,3052760,8962083,9120122,1.5,22290,0,0,22290,
1990,5,40,Rhode Island,51.7,50.2,46.6,375188,364052,725084,780448,5.8,2392,15366,321,10396,
1990,48,41,South Carolina,31.3,30,29.3,793614,760965,2537384,2598170,0.9,17319,32287,3543,37006,
1990,37,42,South Dakota,,52.3,51.9,,258976,494849,499072,0.6,1341,0,0,1341,
1990,54,43,Tennessee,,21.8,21.4,,790441,3624940,3693970,0.8,10388,32719,11327,38075,
1990,49,44,Texas,,35.3,31.8,,3892746,11034190,12232761,7.2,50042,308357,109726,313947,
1990,67,45,Utah,42.2,40.7,39.6,457983,442213,1086050,1116922,2.8,0,0,0,0,
1990,6,46,Vermont,52.3,50.9,50.1,217384,211422,415564,422130,1.6,0,0,0,0,
1990,40,47,Virginia,,25.5,24.5,,1152854,4512504,4715129,3.5,17593,21303,9048,37293,
1990,73,48,Washington,39.8,38.4,36.1,1362651,1313217,3421256,3634031,4.2,7995,84817,9615,60019,
1990,56,49,West Virginia,,30,29.8,,404305,1347723,1358773,0.4,1565,5059,1000,5095,
1990,25,50,Wisconsin,,39,38.1,,1379727,3541548,3617625,1.4,7465,29370,4099,26249,
1990,68,51,Wyoming,52.5,51.2,50.2,164309,160109,312961,319255,1.1,1110,2980,313,2913,
1988,0,0,United States,0,52.8,50.3,,91594691,173579281,181955484,5.1,616785,1319935,317223,1593976,2527370
1988,41,1,Alabama,,47.5,46.7,,1378476,2901744,2949934,0.6,12610,25301,4701,29962,
1988,81,2,Alaska,57.3,56.4,54.2,203433,200116,355023,369260,2.6,2588,2994,498,4583,
1988,61,3,Arizona,49.1,47.7,44.9,1204169,1171873,2454254,2609995,5,12095,25446,1669,26487,
1988,42,4,Arkansas,,49,48.2,,827738,1689491,1717388,0.6,5519,15931,3840,17325,
1988,71,5,California,57.5,55.7,46.5,10194539,9887065,17738700,21249801,15.9,76171,0,49364,125535,
1988,62,6,Colorado,60.8,59,57.3,1416265,1372394,2327768,2396786,2.6,5765,0,1743,7508,
1988,1,7,Connecticut,61.4,60.7,57.2,1461962,1443394,2379699,2525021,4.5,8005,46086,371,31419,
1988,11,8,Delaware,54,52.9,51,254973,249891,472441,489696,1.7,3197,9576,1093,9078,
1988,55,9,District of Columbia,43.5,42.5,38.4,197135,192877,453636,502362,7.2,8831,0,3949,12780,
